price,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_above,sqft_basement,lat,long
221900,3,1,1180,5650,1180,0,47.5112,-122.257
538000,3,2.25,2570,7242,2170,400,47.721,-122.319
180000,2,1,770,10000,770,0,47.7379,-122.233
604000,4,3,1960,5000,1050,910,47.5208,-122.393
510000,3,2,1680,8080,1680,0,47.6168,-122.045
1.225E+06,4,4.5,5420,101930,3890,1530,47.6561,-122.005
257500,3,2.25,1715,6819,1715,0,47.3097,-122.327
291850,3,1.5,1060,9711,1060,0,47.4095,-122.315
229500,3,1,1780,7470,1050,730,47.5123,-122.337
323000,3,2.5,1890,6560,1890,0,47.3684,-122.031
662500,3,2.5,3560,9796,1860,1700,47.6007,-122.145
468000,2,1,1160,6000,860,300,47.69,-122.292
310000,3,1,1430,19901,1430,0,47.7558,-122.229
400000,3,1.75,1370,9680,1370,0,47.6127,-122.045
530000,5,2,1810,4850,1810,0,47.67,-122.394
650000,4,3,2950,5000,1980,970,47.5714,-122.375
395000,3,2,1890,14040,1890,0,47.7277,-121.962
485000,4,1,1600,4300,1600,0,47.6648,-122.343
189000,2,1,1200,9850,1200,0,47.3089,-122.21
230000,3,1,1250,9774,1250,0,47.3343,-122.306
385000,4,1.75,1620,4980,860,760,47.7025,-122.341
2E+06,3,2.75,3050,44867,2330,720,47.5316,-122.233
285000,5,2.5,2270,6300,2270,0,47.3266,-122.169
252700,2,1.5,1070,9643,1070,0,47.3533,-122.166
329000,3,2.25,2450,6500,2450,0,47.3739,-122.172
233000,3,2,1710,4697,1710,0,47.3048,-122.218
937000,3,1.75,2450,2691,1750,700,47.6386,-122.36
667000,3,1,1400,1581,1400,0,47.6221,-122.314
438000,3,1.75,1520,6380,790,730,47.695,-122.304
719000,4,2.5,2570,7173,2570,0,47.7073,-122.11
580500,3,2.5,2320,3980,2320,0,47.5391,-122.07
280000,2,1.5,1190,1265,1190,0,47.7274,-122.357
687500,4,1.75,2330,5000,1510,820,47.6823,-122.368
535000,3,1,1090,3000,1090,0,47.6889,-122.375
322500,4,2.75,2060,6659,1280,780,47.4276,-122.157
696000,3,2.5,2300,3060,1510,790,47.6827,-122.31
550000,4,1,1660,34848,930,730,47.6621,-122.132
640000,4,2,2360,6000,2360,0,47.6702,-122.362
240000,4,1,1220,8075,890,330,47.3341,-122.282
605000,4,2.5,2620,7553,2620,0,47.5301,-122.18
625000,4,2.5,2570,5520,2570,0,47.6145,-122.027
775000,4,2.25,4220,24186,2600,1620,47.445,-122.347
861990,5,2.75,3595,5639,3595,0,47.6848,-122.016
685000,3,1,1570,2280,1570,0,47.6413,-122.364
309000,3,1,1280,9656,920,360,47.4485,-122.175
488000,3,2.5,3160,13603,3160,0,47.7443,-121.977
210490,3,1,990,8528,990,0,47.3066,-122.371
785000,4,2.5,2290,13416,2290,0,47.6194,-122.151
450000,3,1.75,1250,5963,1250,0,47.6796,-122.301
1.35E+06,3,2.5,2753,65005,2165,588,47.4041,-122.451
228000,3,1,1190,9199,1190,0,47.4258,-122.322
345000,5,2.5,3150,9134,1640,1510,47.4934,-122.189
600000,3,1.75,1410,4080,1000,410,47.6808,-122.384
585000,2,1.75,1980,8550,990,990,47.6989,-122.369
920000,5,2.25,2730,6000,2130,600,47.6571,-122.281
885000,4,2.5,2830,5000,2830,0,47.6597,-122.29
292500,4,2.5,2250,4495,2250,0,47.3663,-122.114
301000,3,2.5,2420,4750,2420,0,47.3663,-122.122
951000,5,3.25,3250,14342,3250,0,47.588,-122.116
430000,4,3,1850,9976,1850,0,47.5059,-122.149
650000,3,2.25,2150,21235,1590,560,47.4336,-122.339
289000,3,1.75,1260,8400,1260,0,47.4366,-122.335
505000,3,1.75,2519,8690,2519,0,47.4428,-122.344
549000,3,1.75,1540,1044,1540,0,47.6765,-122.32
425000,3,2.25,1660,6000,1110,550,47.6113,-122.297
317625,3,2.75,2770,3809,1770,1000,47.5747,-122.304
975000,4,2.5,2720,11049,2720,0,47.5815,-122.192
287000,4,2.5,2240,4648,2240,0,47.3378,-122.257
204000,3,1,1000,12070,1000,0,47.3621,-122.11
1.325E+06,5,2.25,3200,20158,1600,1600,47.6303,-122.215
1.04E+06,5,3.25,4770,50094,3070,1700,47.6525,-122.16
325000,3,2,1260,5612,1260,0,47.7362,-122.179
571000,4,2,2750,7807,2250,500,47.7168,-122.287
360000,4,2.5,2380,5000,2380,0,47.3608,-122.036
349000,3,1.75,1790,50529,1090,700,47.3511,-122.073
832500,4,4,3430,35102,2390,1040,47.5822,-121.987
380000,4,1.75,1760,7300,880,880,47.6034,-122.125
480000,3,1,1040,5060,1040,0,47.5636,-122.394
410000,3,1,1410,5060,910,500,47.7073,-122.34
720000,4,2.5,3450,39683,3450,0,47.342,-122.025
390000,3,2.5,2350,5100,2350,0,47.3512,-122.008
360000,4,2.5,1900,5889,1900,0,47.349,-122.031
355000,2,1,2020,6720,1010,1010,47.5474,-122.291
356000,3,1.5,1680,8712,1680,0,47.4811,-122.149
315000,3,1,960,6634,960,0,47.7264,-122.31
940000,3,1.5,2140,3600,1900,240,47.6337,-122.365
305000,5,2.25,2660,8400,2660,0,47.2909,-122.189
461000,3,3.25,2770,6278,1980,790,47.5228,-122.199
215000,2,2.25,1610,2040,1610,0,47.518,-122.194
335000,2,1.75,1030,1066,765,265,47.5394,-122.387
243500,4,2.5,1980,7403,1980,0,47.2897,-122.372
1.09988E+06,5,2.75,3520,6353,3520,0,47.6506,-122.391
153000,3,1,1200,10500,1200,0,47.322,-122.351
430000,3,1.5,1580,5000,1290,290,47.687,-122.386
700000,3,1.5,1580,5000,1290,290,47.687,-122.386
905000,4,2.5,3300,10250,2390,910,47.5873,-122.249
247500,3,1.75,1960,15681,1960,0,47.3576,-122.277
199000,4,1.5,1160,6400,1160,0,47.3036,-122.378
314000,3,1.75,1810,41800,1210,600,47.4109,-121.958
437500,3,2.5,2320,36847,2320,0,47.4838,-121.714
850830,3,2.5,2070,13241,1270,800,47.6415,-122.315
555000,3,2,1980,3478,1440,540,47.6775,-122.372
699950,3,2.25,2190,107593,2190,0,47.7731,-122.08
1.088E+06,3,2.5,2920,8113,2920,0,47.5814,-122.196
290000,3,1,1210,33919,1210,0,47.4375,-122.184
375000,3,2.5,2340,10005,1460,880,47.4431,-122.133
460000,3,1,1670,4005,1170,500,47.6878,-122.38
188500,2,1.75,1240,2493,1240,0,47.3813,-122.322
680000,4,2.5,3140,28037,3140,0,47.7304,-122.082
470000,5,1.75,2030,12342,2030,0,47.6417,-122.109
597750,4,2.5,2310,9624,2310,0,47.5386,-122.053
570000,3,1.75,1260,3328,700,560,47.6823,-122.349
